,Price(EUR),Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
38,128550,"PODBARA, NOVI SAD",2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",78,uknjiženo,u izgradnji,useljivo,2006,4/6
39,95270,"NOVA DETELINARA, NOVI SAD",2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",65,uknjiženo,u izgradnji,useljivo,2006,5/6
40,87500,"TELEP, NOVI SAD",2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,u izgradnji,useljivo,2006,3/3
41,97850,"GRBAVICA, NOVI SAD",2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",52,uknjiženo,u izgradnji,useljivo,2006,5/6
42,82400,"CENTAR, NOVI SAD",3,grejanje na struju,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,u izgradnji,useljivo,2006,1/2
43,75000,"TELEP, NOVI SAD",1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",38,uknjiženo,u izgradnji,useljivo,2006,2/3
44,61800,"LIPOV GAJ, NOVI SAD",2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",42,uknjiženo,u izgradnji,useljivo,2006,prizemlje/1
45,72400,"BULEVAR, NOVI SAD",1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",37,uknjiženo,u izgradnji,useljivo,2006,visoko
46,124220,"SAJAM, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",67,uknjiženo,u izgradnji,useljivo,2006,1/6
47,113300,"NOVA DETELINARA, NOVI SAD",2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",59,uknjiženo,u izgradnji,useljivo,2006,1/5
48,149350,"CENTAR, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,u izgradnji,useljivo,2006,3/18
49,218880,"NOVA DETELINARA, NOVI SAD",4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",125,uknjiženo,u izgradnji,useljivo,2006,5/6
50,89800,"CENTAR, NOVI SAD",1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",34,nije uknjiženo,u izgradnji,useljivo,2006,3/6
51,236900,"CARA DUSANA, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",106,uknjiženo,u izgradnji,useljivo,2006,6/7
52,125150,Bulevar Oslobođenja,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",81,uknjiženo,uobičajeno stanje,useljivo,2006,7/10
53,64000,Jugovićevo,1,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010,visoko
54,87550,Jevrejska,1,centralno grejanje,prazno,ima lift (1),telefon,37,uknjiženo,uobičajeno stanje,useljivo,2010,3/3
55,1,Socijalno,3,grejanje na gas,prazno,ima lift (1),telefon,85,uknjiženo,uobičajeno stanje,useljivo,2018,7/9
56,251320,Stevana Branovačkog,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2018,1/3
57,144200,Kopernikova,4.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",98,uknjiženo,uobičajeno stanje,useljivo,2018,3/4
58,46960,Grbavica,0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",19,uknjiženo,novo,useljivo,2018,2/3
59,123600,Grbavica,3.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",75,uknjiženo,novo,useljivo,2013,5/5
