,Price(EUR),Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
381,165830,Grbavica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",91,uknjiženo,uobičajeno stanje,useljivo,2000,1/5
382,138600,Šarengrad,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",117,uknjiženo,uobičajeno stanje,useljivo,2000,4/4
383,67900,Molijerova 8,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",47,uknjiženo,renovirano,useljivo,1980,3/4
384,89800,Bulevar Evrope,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",42,uknjiženo,renovirano,useljivo,1980,3.
385,84450,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",42,uknjiženo,novo,useljivo,1980,4.
386,69000,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",35,uknjiženo,novo,useljivo,1980,2/3
387,116800,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, klima",54,uknjiženo,novo,useljivo,1980,3.
388,111550,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, interfon, klima",57,uknjiženo,novo,useljivo,1980,5/8
389,176000,Petra Drapšina 56,3,centralno grejanje,prazno,ima lift (2),"Poslovni nameštaj, telefon, video nadzor, TV, klima, kuhinjski elementi, frižider, mikrotalasna rerna, ugradni plakar",80,uknjiženo,renovirano,useljivo,1980,3/6
390,133900,Liman 1,2,centralno grejanje,prazno,ima lift (2),"telefon, kablovska",60,uknjiženo,uobičajeno stanje,useljivo,1980,3/4
391,97850,Nova Detelinara,2,centralno grejanje,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",54,uknjiženo,novo,useljivo,1980,2/5
392,126700,Nova Detelinara,3,centralno grejanje,namešteno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",60,uknjiženo,novo,useljivo,2010,4/6
393,63860,Bulevar Patrijarha Pavla (Somborski Bulevar),1.5,grejanje na gas,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",33,uknjiženo,uobičajeno stanje,useljivo,2010,1/2
394,148320,Grbavica,4,centralno grejanje,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",80,uknjiženo,novo,useljivo,2010,4/4
395,100430,Bulevar Patrijarha Pavla (Somborski Bulevar),1.5,grejanje na gas,namešteno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",39,u procesu uknjižavanja,novo,useljivo,2020,3/4
396,97850,Cara Dušana,2,centralno grejanje,namešteno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",52,uknjiženo,novo,useljivo,2010,5/5
397,164800,Telep,4,grejanje na gas,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",96,uknjiženo,novo,useljivo,2010,2/3
398,123600,Liman 3,2,centralno grejanje,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",65,uknjiženo,novo,useljivo,2010,7/9
399,115360,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),"kuhinjski elementi, rerna, šporet, plakar",63,uknjiženo,renovirano,useljivo,2010,7/9
400,430000,Kej,5,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",208,uknjiženo,novo,useljivo,2018,5/5
401,111200,Banatić,2.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",60,uknjiženo,uobičajeno stanje,useljivo,2001,prizemlje/3
402,105700,Novi Sad - Centar,2,centralno grejanje,prazno,ima lift (1),interfon,57,uknjiženo,uobičajeno stanje,useljivo,1936,1/4
403,71070,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",26,uknjiženo,novo,useljivo,1936,3/5
404,95490,Zmaj Jovina,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",81,uknjiženo,potrebno renoviranje,useljivo,1936,1/1
405,122570,Novo Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",65,uknjiženo,potrebno renoviranje,useljivo,1936,prizemlje/3
406,113300,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),kablovska,59,uknjiženo,uobičajeno stanje,useljivo,1936,1/4
407,127300,Stari Grad,4,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",103,uknjiženo,uobičajeno stanje,useljivo,2003,4/4
408,87550,Grbavica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2002,6/7
409,273156,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",156,uknjiženo,novo,useljivo,2002,6/6
410,77250,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,novo,useljivo,2004,6/6
411,113300,Bulevar Evrope,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",69,uknjiženo,novo,useljivo,2010,1/5
412,72100,Stari Grad,1.5,centralno grejanje,prazno,ima lift (1),"telefon, klima",39,uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje
413,100940,Salajka,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,novo,useljivo,2008,1/4
414,59740,Novo Naselje,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",36,uknjiženo,uobičajeno stanje,useljivo,2008,4/4
415,123600,Nova Detelinara,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, interfon, klima",74,uknjiženo,novo,useljivo,2007,5/5
416,132613,Podbara,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",99,uknjiženo,novo,useljivo,2007,4/5
417,67570,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",41,uknjiženo,uobičajeno stanje,useljivo,2005,6/7
418,64890,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",46,uknjiženo,uobičajeno stanje,useljivo,2013,5/5
419,74160,Sajmište,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",48,uknjiženo,novo,useljivo,1990,3/3
420,36050,Novo Naselje,1,grejanje na struju,prazno,ima lift (1),telefon,27,uknjiženo,uobičajeno stanje,useljivo,1990,prizemlje/2
421,128750,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",76,uknjiženo,uobičajeno stanje,useljivo,1990,4/4
422,168100,Adamovićevo Naselje,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",102,uknjiženo,novo,useljivo,2007,5/5
423,106605,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",69,uknjiženo,uobičajeno stanje,useljivo,1997,3/3
424,126975,Petrovaradin,3.5,centralno grejanje,prazno,ima lift (1),telefon,96,uknjiženo,u izgradnji,useljivo,2021,potkrovlje/2
425,201720,Bulevar Evrope,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",68,nije uknjiženo,u izgradnji,useljivo,2021,visoko
426,54640,Stara Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",31,uknjiženo,u izgradnji,useljivo,2021,5/6
427,127310,Bulevar Evrope,2,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, klima",44,uknjiženo,novo,useljivo,2021,5/12
428,92700,Avijatičarsko Naselje,3,grejanje na gas,namešteno,ima lift (2),"klima, veš mašina, kuhinjski elementi, sudo mašina, frižider, mikrotalasna rerna, rerna, šporet, ležaj, plakar",58,uknjiženo,novo,useljivo,2010,3/4
429,230000,Socijalno,4,centralno grejanje,prazno,ima lift (1),"klima, veš mašina, kuhinjski elementi, sudo mašina, frižider, mikrotalasna rerna, rerna, šporet, ležaj, plakar",99,uknjiženo,novo,useljivo,2020,5/5
430,127920,Grbavica,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",92,uknjiženo,novo,useljivo,2010,4/4
431,99910,Maksima Gorkog,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, ležaj, plakar, ugradni plakar",39,uknjiženo,renovirano,useljivo,2010,2/4
432,90600,Bulevar Oslobođenja,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",42,uknjiženo,uobičajeno stanje,useljivo,2010,3/4
433,127700,Spens,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",62,uknjiženo,uobičajeno stanje,useljivo,2010,1.
434,73700,Novo Naselje,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",53,u procesu uknjižavanja,uobičajeno stanje,useljivo,2010,1/4
435,164800,Grbavica,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, klima",87,uknjiženo,uobičajeno stanje,useljivo,2006,1/3
436,101970,Nova Detelinara,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, klima",60,uknjiženo,uobičajeno stanje,useljivo,2005,1/5
437,97400,Socijalno,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,renovirano,useljivo,2003,6/6
438,122570,Bistrica,3,centralno grejanje,prazno,ima lift (1),klima,65,uknjiženo,novo,useljivo,2003,6/6
439,71070,Nova Detelinara,0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, TV, klima, kuhinjski elementi",26,uknjiženo,novo,useljivo,2003,6/6
440,100000,veljka petrovica,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, TV, klima, kuhinjski elementi",40,uknjiženo,novo,useljivo,2003,2/6
441,148000,Dusana Danilovica 7,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",74,uknjiženo,renovirano,useljivo,2003,4/5
442,319300,Novi Sad - Centar,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",143,uknjiženo,renovirano,useljivo,2003,4/5
443,96300,Avijatičarsko Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",60,uknjiženo,renovirano,useljivo,2021,5/5
444,76800,Đorđa Servickog 6,0.5,centralno grejanje,prazno,ima lift (1),"klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj",25,uknjiženo,renovirano,useljivo,2000,visoko
445,84460,Preradovićeva,1.5,grejanje na gas,prazno,ima lift (1),"klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj",41,uknjiženo,novo,useljivo,2020,2/4
446,82400,Novi Sad - Centar,2.5,grejanje na gas,prazno,ima lift (1),telefon,60,uknjiženo,uobičajeno stanje,useljivo,2020,1.
447,96500,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",46,uknjiženo,novo,useljivo,2020,4/4
448,117270,Bulevar Oslobodjenja,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",45,uknjiženo,novo,useljivo,2020,1/5
449,128000,Sajmište,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,novo,useljivo,2020,visoko
450,58700,Telep,2,grejanje na struju,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",42,uknjiženo,novo,useljivo,2020,prizemlje/1
451,301170,Bulevar Patrijarha Pavla (Somborski Bulevar),4.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",150,uknjiženo,u izgradnji,useljivo,2020,1/2
452,247200,"GRADIĆ, PETROVARADIN",3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",97,uknjiženo,uobičajeno stanje,useljivo,1910,visoko
453,116060,Nova Detelinara,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",49,uknjiženo,u izgradnji,useljivo,1910,prizemlje/3
454,58710,kralja petra,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",32,uknjiženo,u izgradnji,useljivo,1910,5/6
455,142140,Salajka,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",93,uknjiženo,novo,useljivo,2009,3/5
456,128750,Pećka,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",92,uknjiženo,novo,useljivo,1999,2/2
457,144200,Rotkvarija,4.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",94,uknjiženo,novo,useljivo,2006,4/5
458,92290,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (2),"telefon, kablovska",64,uknjiženo,novo,useljivo,1976,14/18
459,88600,Salajka,2,grejanje na gas,prazno,ima lift (2),"telefon, kablovska",43,uknjiženo,novo,useljivo,2005,3/3
460,117270,devet jugovica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",45,uknjiženo,novo,useljivo,2005,1/6
461,123000,Novi Sad - Centar,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",34,uknjiženo,novo,useljivo,2005,1.
462,159140,Stari Grad,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",67,uknjiženo,novo,useljivo,2005,2/5
463,133000,Liman 1,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",60,uknjiženo,novo,useljivo,2005,3/4
464,85000,Bulevar Evrope,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",37,uknjiženo,novo,useljivo,2005,5/5
465,63650,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",24,uknjiženo,novo,useljivo,2005,visoko
466,494400,Bulevar Oslobođenja,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",150,uknjiženo,novo,useljivo,2005,1/3
467,46350,"BULEVAR EVROPE, NOVI SAD",1.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, klima",30,nije uknjiženo,novo,useljivo,2005,suteren/4
468,115800,VOJVODJANSKA,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",65,nije uknjiženo,novo,useljivo,2005,suteren/4
469,177160,BULEVAR PATRIJARHA PAVLA,3,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, klima",106,nije uknjiženo,novo,useljivo,2005,suteren/4
470,80000,BRANIMIRA COSICA,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",42,nije uknjiženo,novo,useljivo,2005,suteren/4
471,72000,Hadzi Ruvimova,1,centralno grejanje,namešteno,ima lift (1),"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj, plakar",35,uknjiženo,novo,useljivo,2000,3/5
472,125040,Temerinska Pijaca,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",49,u procesu uknjižavanja,u izgradnji,useljivo,2000,1/5
473,130000,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",72,uknjiženo,uobičajeno stanje,useljivo,1966,visoko
474,109000,Sajmište,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",59,uknjiženo,uobičajeno stanje,useljivo,2007,1/6
475,94600,Liman 4,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",34,uknjiženo,uobičajeno stanje,useljivo,2007,5/7
476,309000,Cara Dušana,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",114,uknjiženo,uobičajeno stanje,useljivo,2009,3/4
477,46350,Bulevar Oslobođenja,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",30,uknjiženo,uobičajeno stanje,useljivo,2009,suteren/4
478,100940,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",70,uknjiženo,uobičajeno stanje,useljivo,2009,3/3
479,30900,Đorđa Joanovića,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",19,uknjiženo,uobičajeno stanje,useljivo,1987,prizemlje/8
480,36000,"CENTAR, NOVI SAD",0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",19,uknjiženo,uobičajeno stanje,useljivo,2012,visoko
481,157100,Bulevar Oslobođenja,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",68,uknjiženo,uobičajeno stanje,useljivo,2012,1/5
482,180150,Bulevar Evrope,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",106,uknjiženo,uobičajeno stanje,useljivo,2012,5/6
483,113000,Gajeva,2,centralno grejanje,namešteno,ima lift (1),"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj, plakar",48,uknjiženo,uobičajeno stanje,useljivo,2012,4/5
484,92700,BRAĆE DRONJAK,3,centralno grejanje,namešteno,ima lift (1),"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj, plakar",63,uknjiženo,renovirano,useljivo,2012,5/6
485,92700,Bulevar Evrope,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",45,uknjiženo,renovirano,useljivo,2012,7/12
486,72100,Bulevar Oslobođenja,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",33,uknjiženo,renovirano,useljivo,2012,7/12
487,154500,Bulevar Evrope,2,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",73,uknjiženo,novo,useljivo,2012,1.
488,95000,"NOVO NASELJE, NOVI SAD",2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",44,uknjiženo,uobičajeno stanje,useljivo,1990,7/7
489,92700,Socijalno,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",37,uknjiženo,uobičajeno stanje,useljivo,1990,prizemlje/4
490,145230,Grbavica,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",60,uknjiženo,uobičajeno stanje,useljivo,2009,3/5
491,178000,Veternik,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",141,uknjiženo,uobičajeno stanje,useljivo,2009,2/2
492,150700,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",67,uknjiženo,uobičajeno stanje,useljivo,2009,2/5
493,198400,Grbavica,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",107,uknjiženo,uobičajeno stanje,useljivo,2007,5/5
494,94760,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",46,uknjiženo,uobičajeno stanje,useljivo,2009,4/5
495,67980,Železnička stanica,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",52,uknjiženo,uobičajeno stanje,useljivo,2009,4/5
496,59500,Vojvode Šupljikca,1,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",30,uknjiženo,uobičajeno stanje,useljivo,1999,3/3
497,82400,"GRBAVICA, NOVI SAD",1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",40,uknjiženo,uobičajeno stanje,useljivo,1999,4/5
498,59130,"ADICE, NOVI SAD",2.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",41,uknjiženo,uobičajeno stanje,useljivo,1999,3/4
499,149350,Liman 4,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",58,uknjiženo,uobičajeno stanje,useljivo,1984,1/5
500,115870,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",45,uknjiženo,uobičajeno stanje,useljivo,2018,2/5
501,144200,Nova Detelinara,4.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",98,uknjiženo,uobičajeno stanje,useljivo,2011,3/3
502,194670,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",76,uknjiženo,uobičajeno stanje,useljivo,2018,2/5
503,121540,Bulevar Evrope,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",75,uknjiženo,renovirano,useljivo,2018,3/4
504,113300,Železnička stanica,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",78,uknjiženo,renovirano,useljivo,2018,5/5
505,48930,Podbara,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",28,uknjiženo,renovirano,useljivo,1961,4/4
506,146200,Stari Majur,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",86,uknjiženo,novo,useljivo,1961,5/5
507,92700,"SOCIJALNO, NOVI SAD",1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",37,uknjiženo,u izgradnji,useljivo,1961,visoko
508,100000,Liman 1,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",40,uknjiženo,uobičajeno stanje,useljivo,1961,2/4
509,319300,Novi Sad - Centar,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",143,uknjiženo,uobičajeno stanje,useljivo,1961,3/3
510,116060,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",49,uknjiženo,uobičajeno stanje,useljivo,1961,prizemlje/3
511,58700,Telep,2,grejanje na struju,prazno,ima lift (1),"telefon, kablovska",42,uknjiženo,renovirano,useljivo,1961,prizemlje/1
512,164800,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",78,uknjiženo,renovirano,useljivo,1961,4/7
513,154500,Bistrica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",75,uknjiženo,renovirano,useljivo,1961,prizemlje/3
514,142760,Južni Telep,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",66,u procesu uknjižavanja,u izgradnji,useljivo,1961,prizemlje/3
515,89000,Heroja Pinkija,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",69,uknjiženo,u izgradnji,useljivo,1961,prizemlje/2
516,99000,Bulevar Oslobođenja,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,u izgradnji,useljivo,2005,5/6
517,78280,"CENTAR, NOVI SAD",3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",76,uknjiženo,uobičajeno stanje,useljivo,2008,visoko
518,92700,novosadskog sajma,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",30,uknjiženo,uobičajeno stanje,useljivo,2008,1/6
519,144200,Podbara,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",73,u procesu uknjižavanja,renovirano,useljivo,2008,2/2
520,74160,vojvode supljikca,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",27,uknjiženo,renovirano,useljivo,2008,1/3
521,123600,Grbavica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",56,uknjiženo,renovirano,useljivo,2008,2.
522,231750,Kej,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",69,uknjiženo,renovirano,useljivo,2008,5/10
523,99300,lukijana musickog,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,renovirano,useljivo,2008,2/4
524,220420,Centar,3,grejanje na struju,namešteno,ima lift (1),"telefon, kablovska",109,uknjiženo,renovirano,useljivo,2008,2/2
525,101000,BUL.CARA LAZARA,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",34,uknjiženo,renovirano,useljivo,2008,2/2
526,159650,janka cmelika,5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",95,uknjiženo,renovirano,useljivo,2008,5/5
527,118450,balzakova,2,centralno grejanje,prazno,ima lift (2),"telefon, kablovska",57,uknjiženo,renovirano,useljivo,2008,4/8
528,442000,Bulevar Evrope,5,grejanje na gas,prazno,ima lift (2),"telefon, kablovska",149,uknjiženo,u izgradnji,useljivo,2008,1/2
529,129000,Sremska Kamenica,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",50,uknjiženo,uobičajeno stanje,useljivo,2008,1/2
530,129000,Sremska Kamenica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",50,uknjiženo,uobičajeno stanje,useljivo,2021,2/5
531,103000,Kej Žrtava Racije,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",50,uknjiženo,uobičajeno stanje,useljivo,2021,5/5
532,92700,Bistrica,1.5,centralno grejanje,namešteno,ima lift (2),"telefon, kablovska",47,uknjiženo,uobičajeno stanje,useljivo,2021,1/14
533,97850,Bulevar Patrijarha Pavla (Somborski Bulevar),2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",52,uknjiženo,uobičajeno stanje,useljivo,2017,1/5
534,51500,Janka Čmelika,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",24,uknjiženo,uobičajeno stanje,useljivo,2007,1/5
535,56000,Stari Grad,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,uobičajeno stanje,useljivo,2007,1/5
536,133900,Nova Detelinara,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",82,uknjiženo,uobičajeno stanje,useljivo,2006,5/5
537,34500,Novi Sad - Centar,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",19,uknjiženo,u izgradnji,useljivo,2014,suteren/4
538,60770,Adice,2,etažno grejanje,prazno,ima lift (1),"telefon, kablovska",63,uknjiženo,uobičajeno stanje,useljivo,2014,2/2
539,420000,Grčkoškolska,8,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",285,uknjiženo,renovirano,useljivo,2014,2/2
540,104000,Jožefa Marčoka,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",76,uknjiženo,renovirano,useljivo,2014,prizemlje/5
541,209000,MAKSIMA GORKOG,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",110,uknjiženo,potrebno renoviranje,useljivo,2014,2/2
542,99700,ALEKSE ŠANTIĆA,2,centralno grejanje,prazno,ima lift (1),"klima, plakar",47,uknjiženo,novo,useljivo,2014,4/6
543,591000,Spens,7,centralno grejanje,namešteno,ima lift (1),"klima, plakar",302,uknjiženo,luksuzno,useljivo,2014,4/4
544,175100,Socijalno,4,centralno grejanje,prazno,ima lift (1),"klima, plakar",94,uknjiženo,luksuzno,useljivo,2014,7/10
545,34000,Novi Sad - Centar,0.5,centralno grejanje,prazno,ima lift (1),"klima, plakar",19,uknjiženo,u izgradnji,useljivo,2014,suteren/5
546,92700,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"klima, plakar",37,uknjiženo,u izgradnji,useljivo,2020,visoko
