,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
85,105000, Liman,Liman 2,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,uobičajeno stanje,useljivo,1975,4/10
86,99910, Liman,Liman 3,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",34,uknjiženo,uobičajeno stanje,useljivo,1971,4/8
87,51500,Veternik,Veternik,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",31,uknjiženo,u izgradnji,useljivo,2022,2/2
88,149990, Stari Grad,Novi Sad - Centar,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",48,uknjiženo,uobičajeno stanje,useljivo,2022,3/5
89,108150, Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),klima,60,uknjiženo,uobičajeno stanje,useljivo,2022,1/4
90,119480,Adice,Adice,3,podno grejanje,prazno,ima lift (1),klima,80,uknjiženo,novo,useljivo,2022,1/2
91,123600,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),internet,78,uknjiženo,novo,useljivo,2022,1.
92,61845,Veternik,Veternik,2,podno grejanje,prazno,ima lift (1),internet,41,uknjiženo,novo,useljivo,2022,1/2
93,135960,Podbara,Podbara,3,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,novo,useljivo,2022,1.
94,140000, Liman,Liman 2,3,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,uobičajeno stanje,useljivo,1970,3/8
95,49500,Sremska Kamenica,Sremska Kamenica,2,centralno grejanje,prazno,ima lift (1),internet,76,uknjiženo,u izgradnji,useljivo,1970,prizemlje/1
96,78980, Stari Grad,"CENTAR, NOVI SAD",2.5,centralno grejanje,prazno,ima lift (1),internet,54,uknjiženo,u izgradnji,useljivo,1970,prizemlje/1
97,99500, Novo Naselje,Bistrica,2,centralno grejanje,namešteno,ima lift (1),internet,39,uknjiženo,u izgradnji,useljivo,2022,6/7
98,282000, Petrovaradin,Blok 8,4.5,centralno grejanje,namešteno,ima lift (1),internet,137,uknjiženo,uobičajeno stanje,useljivo,1960,2/3
99,106600, Sajmište,Branka Bajića,2,centralno grejanje,namešteno,ima lift (1),internet,45,u procesu uknjižavanja,novo,useljivo,1960,5/6
100,73500,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,namešteno,ima lift (1),internet,44,uknjiženo,novo,useljivo,1960,6/7
101,75300,Salajka,Kisačka,1.5,centralno grejanje,prazno,ima lift (1),internet,43,uknjiženo,novo,useljivo,1960,6/7
102,112500, Stari Grad,Jevrejska,2,centralno grejanje,prazno,ima lift (1),internet,52,uknjiženo,novo,useljivo,1960,1/1
103,123600,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),internet,50,uknjiženo,uobičajeno stanje,useljivo,1967,3/4
104,430000, Petrovaradin,Blok 8,4,centralno grejanje,prazno,ima lift (1),internet,208,uknjiženo,uobičajeno stanje,useljivo,1980,5/5
105,54590,Podbara,Podbara,0.5,grejanje na gas,prazno,ima lift (1),internet,21,uknjiženo,uobičajeno stanje,useljivo,2000,5/5
106,1, Rotkvarija,Socijalno,3,grejanje na gas,prazno,ima lift (1),internet,85,uknjiženo,uobičajeno stanje,useljivo,2018,7/9
107,251320, Stari Grad,Stevana Branovačkog,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2018,1/3
108,123600,Grbavica,Grbavica,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",75,uknjiženo,uobičajeno stanje,useljivo,2013,5/5
109,172200,Bulevar Oslobođenja,Bulevar Oslobođenja,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",88,uknjiženo,uobičajeno stanje,useljivo,1992,4/7
110,58710,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,uobičajeno stanje,useljivo,2022,visoko
111,145200,Podbara,Podbara,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,uobičajeno stanje,useljivo,2017,1/4
112,130000, Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,uobičajeno stanje,useljivo,1972,visoko
113,91770,Salajka,Salajka,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",54,uknjiženo,uobičajeno stanje,useljivo,2022,visoko
114,126700, Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",64,uknjiženo,uobičajeno stanje,useljivo,2014,1/6
115,139000,Grbavica,Grbavica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2008,4/7
116,1,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",145,uknjiženo,uobičajeno stanje,useljivo,2010,5/5
117,101420, Veternik,Veternička Rampa,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",70,uknjiženo,novo,useljivo,2022,2/2
118,149350,Rotkvarija,Rotkvarija,3,centralno grejanje,prazno,ima lift (1),Kanalizacija,66,uknjiženo,novo,useljivo,2022,3/6
119,126700,Avijatičarsko Naselje,Avijatičarsko Naselje,3,centralno grejanje,polunamešteno,ima lift (1),"frižider, šporet, Kanalizacija",87,uknjiženo,renovirano,useljivo,2022,3.
