Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
769,2.0,Banatić,Železnička stanica,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",52,uknjiženo,uobičajeno stanje,useljivo,2009,4
770,3.0,Grbavica,"GRBAVICA, NOVI SAD",1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",40,uknjiženo,uobičajeno stanje,useljivo,2009,4
771,2.0,Adice,"ADICE, NOVI SAD",2.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",41,uknjiženo,uobičajeno stanje,useljivo,2009,3
772,5.0,Liman,Liman 4,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",58,uknjiženo,uobičajeno stanje,useljivo,1984,1
773,4.0,Detelinara,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",45,uknjiženo,uobičajeno stanje,useljivo,2018,2
774,5.0,Majur,Stari Majur,4,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",86,uknjiženo,novo,useljivo,2018,5
775,3.0,Rotkvarija,"SOCIJALNO, NOVI SAD",1.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",37,uknjiženo,u izgradnji,useljivo,2018,visoko
776,4.0,Liman,Liman 1,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",40,uknjiženo,uobičajeno stanje,useljivo,2018,2
777,12.0,Stari Grad,Centar,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",143,uknjiženo,uobičajeno stanje,useljivo,2018,3
778,4.0,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",49,uknjiženo,uobičajeno stanje,useljivo,2018,prizemlje
779,2.0,Telep,Telep,2,grejanje na struju,prazno,ima lift (1),"telefon, kablovska",42,uknjiženo,renovirano,useljivo,2018,prizemlje
780,6.0,Stari Grad,Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",78,uknjiženo,renovirano,useljivo,2018,4
781,6.0,Novo Naselje,Bistrica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",75,uknjiženo,renovirano,useljivo,2018,prizemlje
782,5.0,Telep,Južni Telep,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",66,u procesu uknjižavanja,u izgradnji,useljivo,2018,prizemlje
783,3.0,Telep,Heroja Pinkija,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",69,uknjiženo,u izgradnji,useljivo,2018,prizemlje
784,3.0,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,u izgradnji,useljivo,2005,5
785,3.0,Stari Grad,Centar,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",76,uknjiženo,uobičajeno stanje,useljivo,2008,visoko
786,3.0,Bulevar Oslobođenja,novosadskog sajma,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",30,uknjiženo,uobičajeno stanje,useljivo,2008,1
787,5.0,Podbara,Podbara,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",73,u procesu uknjižavanja,renovirano,useljivo,2008,2
