Index,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor,YearOfBuildWasNan
96,78980,Stari Grad,Centar,2.5,centralno grejanje,prazno,ima lift (1),internet,54,uknjiženo,u izgradnji,useljivo,1970.0,prizemlje,0
97,99500,Novo Naselje,Bistrica,2.0,centralno grejanje,namešteno,ima lift (1),internet,39,uknjiženo,u izgradnji,useljivo,2022.0,6,0
98,282000,Petrovaradin,Rare_var,4.5,centralno grejanje,namešteno,ima lift (1),internet,137,uknjiženo,uobičajeno stanje,useljivo,1960.0,2,0
99,106600,Sajmište,Rare_var,2.0,centralno grejanje,namešteno,ima lift (1),internet,45,u procesu uknjižavanja,novo,useljivo,1960.0,5,0
100,73500,Bulevar Oslobođenja,Bulevar Oslobođenja,2.0,centralno grejanje,namešteno,ima lift (1),internet,44,uknjiženo,novo,useljivo,1960.0,6,0
101,75300,Salajka,Rare_var,1.5,centralno grejanje,prazno,ima lift (1),internet,43,uknjiženo,novo,useljivo,1960.0,6,0
102,112500,Stari Grad,Jevrejska,2.0,centralno grejanje,prazno,ima lift (1),internet,52,uknjiženo,novo,useljivo,1960.0,1,0
103,123600,Bulevar Oslobođenja,Bulevar Oslobođenja,2.0,centralno grejanje,prazno,ima lift (1),internet,50,uknjiženo,uobičajeno stanje,useljivo,1967.0,3,0
104,430000,Petrovaradin,Rare_var,4.0,centralno grejanje,prazno,ima lift (1),internet,208,uknjiženo,uobičajeno stanje,useljivo,1980.0,5,0
105,54590,Podbara,Podbara,0.5,grejanje na gas,prazno,ima lift (1),internet,21,uknjiženo,uobičajeno stanje,useljivo,2000.0,5,0
106,1,Rotkvarija,Socijalno,3.0,grejanje na gas,prazno,ima lift (1),internet,85,uknjiženo,uobičajeno stanje,useljivo,2018.0,7,0
107,251320,Stari Grad,Rare_var,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2018.0,1,0
108,123600,Grbavica,Grbavica,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",75,uknjiženo,uobičajeno stanje,useljivo,2013.0,5,0
109,172200,Bulevar Oslobođenja,Bulevar Oslobođenja,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",88,uknjiženo,uobičajeno stanje,useljivo,1992.0,4,0
110,58710,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,uobičajeno stanje,useljivo,2022.0,visoko,0
111,145200,Podbara,Podbara,3.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,uobičajeno stanje,useljivo,2017.0,1,0
112,130000,Banatić,Železnička stanica,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,uobičajeno stanje,useljivo,1972.0,visoko,0
113,91770,Salajka,Salajka,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",54,uknjiženo,uobičajeno stanje,useljivo,2022.0,visoko,0
114,126700,Banatić,Železnička stanica,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",64,uknjiženo,uobičajeno stanje,useljivo,2014.0,1,0
115,139000,Grbavica,Grbavica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2008.0,4,0
116,1,Grbavica,Grbavica,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",145,uknjiženo,uobičajeno stanje,useljivo,2010.0,5,0
117,101420,Veternik,Veternička Rampa,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",70,uknjiženo,novo,useljivo,2022.0,2,0
118,149350,Rotkvarija,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),Kanalizacija,66,uknjiženo,novo,useljivo,2022.0,3,0
119,126700,Avijatičarsko Naselje,Avijatičarsko Naselje,3.0,centralno grejanje,polunamešteno,ima lift (1),Rare_var,87,uknjiženo,renovirano,useljivo,2022.0,3,0
120,82500,Rare_var,Rare_var,2.5,podno grejanje,prazno,ima lift (1),Rare_var,50,nije uknjiženo,u izgradnji,useljivo,2020.0,1,0
121,113300,Detelinara,Rare_var,2.0,centralno grejanje,polunamešteno,ima lift (1),Kanalizacija,59,uknjiženo,novo,useljivo,2020.0,1,0
122,69000,Detelinara,Nova Detelinara,2.0,centralno grejanje,namešteno,ima lift (1),Rare_var,26,uknjiženo,novo,useljivo,2020.0,3,0
123,78280,Sajmište,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),Rare_var,42,uknjiženo,novo,useljivo,2020.0,1,0
124,2050,Detelinara,Rare_var,1.5,grejanje na gas,prazno,ima lift (1),Rare_var,40,uknjiženo,u izgradnji,useljivo,2020.0,1,0
125,61800,Novo Naselje,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),Rare_var,48,uknjiženo,uobičajeno stanje,useljivo,2020.0,1,0
126,131840,Detelinara,Nova Detelinara,3.0,podno grejanje,namešteno,ima lift (1),Rare_var,64,uknjiženo,novo,useljivo,2020.0,1,0
127,97965,Veternik,Veternik,3.0,podno grejanje,prazno,ima lift (1),Rare_var,76,uknjiženo,novo,useljivo,2020.0,1,0
128,169950,Liman,Liman 3,3.0,centralno grejanje,polunamešteno,ima lift (1),Rare_var,72,uknjiženo,renovirano,useljivo,2020.0,1,0
129,97850,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,polunamešteno,ima lift (1),Rare_var,42,uknjiženo,uobičajeno stanje,useljivo,2020.0,4,0
130,69000,Sajmište,Sajmište,1.0,centralno grejanje,polunamešteno,ima lift (1),Rare_var,37,uknjiženo,uobičajeno stanje,useljivo,2020.0,5,0
131,87550,Grbavica,Grbavica,1.0,centralno grejanje,prazno,ima lift (1),Rare_var,39,uknjiženo,novo,useljivo,2020.0,visoko,0
132,87000,Detelinara,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),Kanalizacija,50,uknjiženo,novo,useljivo,2020.0,visoko,0
133,80000,Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,34,uknjiženo,uobičajeno stanje,useljivo,2010.0,1,0
134,88000,Telep,Rare_var,2.5,grejanje na gas,namešteno,ima lift (1),Rare_var,69,uknjiženo,novo,useljivo,2010.0,prizemlje,0
135,87000,Rotkvarija,Socijalno,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,52,uknjiženo,potrebno renoviranje,useljivo,2010.0,prizemlje,0
136,99700,Petrovaradin,Petrovaradin,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,40,uknjiženo,potrebno renoviranje,useljivo,2010.0,1,0
137,145000,Stari Grad,Rare_var,3.0,centralno grejanje,prazno,ima lift (2),Rare_var,66,u procesu uknjižavanja,novo,useljivo,2010.0,3,0
138,231750,Stari Grad,Stari Grad,2.5,centralno grejanje,polunamešteno,ima lift (1),klima,75,uknjiženo,uobičajeno stanje,useljivo,2010.0,5,0
139,57200,Salajka,Rare_var,1.5,grejanje na gas,prazno,ima lift (1),"telefon, interfon",27,uknjiženo,novo,useljivo,2010.0,prizemlje,0
140,117000,Stari Grad,Centar,3.0,centralno grejanje,prazno,ima lift (1),"telefon, interfon",60,uknjiženo,novo,useljivo,2010.0,2,0
141,92000,Stari Grad,Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",46,uknjiženo,novo,useljivo,2010.0,2,0
142,84460,Stari Grad,Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",41,uknjiženo,novo,useljivo,2010.0,1,0
143,325000,Grbavica,Rare_var,3.0,centralno grejanje,namešteno,ima lift (1),"telefon, klima",145,uknjiženo,novo,useljivo,2010.0,5,0
144,140000,Grbavica,Grbavica,3.0,centralno grejanje,namešteno,ima lift (1),"telefon, klima",65,uknjiženo,novo,useljivo,2010.0,1,0
145,87550,Stari Grad,Centar,1.0,centralno grejanje,namešteno,ima lift (1),"telefon, klima",29,uknjiženo,novo,useljivo,2010.0,4,0
146,80000,Bulevar Oslobođenja,Bulevar Oslobođenja,2.0,centralno grejanje,prazno,ima lift (1),"telefon, klima",42,uknjiženo,uobičajeno stanje,useljivo,2010.0,3,0
147,113300,Stari Grad,Kej,2.0,centralno grejanje,prazno,ima lift (1),"telefon, klima",55,uknjiženo,uobičajeno stanje,useljivo,2010.0,2,0
148,153850,Detelinara,Rare_var,2.0,grejanje na gas,namešteno,ima lift (1),"telefon, klima",44,uknjiženo,uobičajeno stanje,useljivo,2010.0,4,0
149,76000,Rotkvarija,Socijalno,3.0,centralno grejanje,prazno,ima lift (1),kablovska,76,uknjiženo,novo,useljivo,2010.0,suteren,0
150,140000,Detelinara,Nova Detelinara,4.5,centralno grejanje,prazno,ima lift (1),kablovska,98,uknjiženo,uobičajeno stanje,useljivo,2011.0,3,0
151,127720,Banatić,Železnička stanica,3.0,centralno grejanje,namešteno,ima lift (1),kablovska,80,uknjiženo,renovirano,useljivo,2011.0,Rare_var,0
152,216300,Bulevar Oslobođenja,Bulevar Oslobođenja,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",91,uknjiženo,renovirano,useljivo,2011.0,3,0
153,107120,Grbavica,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",52,uknjiženo,renovirano,useljivo,2010.0,prizemlje,0
154,231750,Grbavica,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",107,uknjiženo,renovirano,useljivo,2010.0,4,0
155,178950,Stari Grad,Kej Žrtava Racije,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",73,uknjiženo,renovirano,useljivo,2010.0,1,0
156,127720,Detelinara,Rare_var,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",45,uknjiženo,novo,useljivo,2010.0,3,0
157,123600,Podbara,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,u procesu uknjižavanja,novo,useljivo,2020.0,3,0
158,74160,Rotkvarija,Socijalno,1.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",27,uknjiženo,uobičajeno stanje,useljivo,2020.0,1,0
159,66950,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",24,uknjiženo,renovirano,useljivo,2010.0,3,0
160,66950,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010.0,visoko,0
161,57680,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010.0,2,0
162,123000,Avijatičarsko Naselje,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),Rare_var,88,uknjiženo,renovirano,useljivo,1980.0,3,0
163,164800,Stari Grad,Centar,3.0,centralno grejanje,namešteno,ima lift (1),Rare_var,94,uknjiženo,renovirano,useljivo,1980.0,3,0
